Auteur Original;nb RT;type;soustype_organisation;soustype_personne;;;;;;;;
AldoSterone111;4379;Personne;;Journaliste / Intellectuel ;;;;;;;;
AlertesInfosUSA;1389;Organisation;Média twitter;Journaliste / Intellectuel ;;;;;;;;
andrebercoff;1733;Personne;; Journaliste;;;;;;;;
aragon_jb;7916;Personne;;Journaliste / Intellectuel ;;;;;;;;
ArianeWalter;6507;Personne;;Journaliste / Intellectuel ;;;;;;;;
ArtLeroux;1738;Personne;;Journaliste / Intellectuel ;;;;;;;;
bengrosso;3530;Personne;;Journaliste / Intellectuel ;;;;;;;;
biobiobiobior;8791;Personne;;Personne inconnue;;;;;;;;
boutaour;2448;Personne;;Personne inconnue;;;;;;;;
ChabriereEric;1658;Personne;;Professionnel sante / Scientifique;;;;;;;;
ChLECHEVALIER;1462;Personne;;Professionnel sante / Scientifique;;;;;;;;
CNEWS;2822;Organisation;Média;;;;;;;;;
Conflits_FR;2662;Organisation;Média twitter;;;;;;;;;
CorinneReverbel;5958;Personne;;Professionnel sante / Scientifique;;;;;;;;
dlempereur;1849;Personne;;Personnalité politique;;;;;;;;
dperetti;3009;Personne;;Personne inconnue;;;;;;;;
dragonduclos;2524;Personne;;Personne inconnue;;;;;;;;
DubreuilhMarcel;2923;Personne;;Personne inconnue;;;;;;;;
dupontaignan;1504;Personne;;Personnalité politique;;;;;;;;
france_soir;1402;Organisation;Média;;;;;;;;;
francoisedegois;2455;Personne;;Journaliste / Intellectuel ;;;;;;;;
GilbertDeray;4516;Personne;;Professionnel sante / Scientifique;;;;;;;;
GuyduFaur;1897;Personne;;Journaliste / Intellectuel ;;;;;;;;
GWGoldnadel;3049;Personne;;Personnalité politique;;;;;;;;
ivanrioufol;1971;Personne;; Journaliste;;;;;;;;
JeanMessiha;1672;Personne;;Personnalité politique;;;;;;;;
JeanYvesCAPO;2425;Personne;;Personne inconnue;;;;;;;;
JulietteEtVous;1399;Personne;;Personne inconnue;;;;;;;;
JVerier;1746;Personne;;Personne inconnue;;;;;;;;
jwaintraub;1580;Personne;;Journaliste / Intellectuel ;;;;;;;;
Laissonslespre1;2177;Organisation;Association;;;;;;;;;
Le___Doc;1469;Personne;;Professionnel sante / Scientifique;;;;;;;;
LMucchielli;1673;Personne;;Journaliste / Intellectuel ;;;;;;;;
medicalfollower;14128;Personne;;Personne inconnue;;;;;;;;
momotchiii;1618;Personne;;Personne inconnue;;;;;;;;
NaphtalineLeBon;3548;Personne;;Personne inconnue;;;;;;;;
Olivier_Monteil;2332;Personne;;Personnalité politique;;;;;;;;
olivierveran;1760;Organisation;Gouvernement;;;;;;;;;
OSTERElizabeth1;5913;Personne;;Juriste;;;;;;;;
PBlanrue;2848;Personne;;Journaliste / Intellectuel ;;;;;;;;
philippefroguel;1683;Personne;;Journaliste / Intellectuel ;;;;;;;;
Poulin2012;1846;Personne;;Journaliste / Intellectuel ;;;;;;;;
raoult_didier;43097;Personne;;Professionnel sante / Scientifique;;;;;;;;
rene_chiche;3213;Personne;;Personnalité politique;;;;;;;;
silvano_trotta;1724;Personne;;Journaliste / Intellectuel ;;;;;;;;
sonjoachim;3261;Personne;;Personnalité politique;;;;;;;;
TaQuIn_MaUvE;1815;Personne;;Personne inconnue;;;;;;;;
ViolaineGuerin;1500;Personne;;Professionnel sante / Scientifique;;;;;;;;
YanisJGR;1558;Personne;;Société civile;;;;;;;;
YvesPDB;2528;Personne;;Personnalité politique;;;;;;;;
