Texte Jupyter;Auteur;nb_RT;Details_etude;Défiant_Confiant;Mention_Pouvoir;Mention_acteurs_pharma;Mention_Personnalite_politique;Mention_Conflit_interet;Mention_fonctionnement_recherche;Discours_complotiste
RT @raoult_didier: Nous nous posons des questions sur l'existence de l'entreprise Surgisphere, en charge de la collecte des données du Lancet. A notre connaissance, beaucoup de démentis mais pas un seul témoignage, ni d'un hôpital partenaire, ni d'un médecin ayant fourni des données sur l'étude.;raoult_didier;6920;1;D;0;0;0;0;0;0
RT @raoult_didier: Retrait de l'article du Lancet demandé par trois des quatre auteurs : ma réaction ?? https://twitter.com/raoult_didier/status/1268849078609350656/photo/1;raoult_didier;5458;0;D;0;0;0;0;0;0
RT @raoult_didier: Les autorités australiennes interrogées par le Guardian Australia s'interrogent sur les fortes discordances entre les données de l'article de Mehra et al dans le Lancet et leurs données nationales. Elles ne comprennent pas quels hôpitaux ont partagé leurs données patient. (1/2);raoult_didier;5372;1;D;1;0;0;0;0;0
RT @raoult_didier: Concernant l'article du Lancet : il n'est pas possible qu'il y ait une telle homogénéité entre des patients de 5 continents différents. Il y a manipulation préalable, non mentionnée dans le matériel et méthodes, ou ces données sont faussées. Cf Table S3  https://www.thelancet.com/cms/10.1016/S0140-6736(20)31180-6/attachment/84423d57-4cf8-41d0-99ca-0e921f2c80ce/mmc1.pdf https://twitter.com/raoult_didier/status/1265289517151461376/photo/1;raoult_didier;4896;1;D;0;0;0;0;0;0
"RT @raoult_didier: ""Expression of concern"" du Lancet : le journal reconnaît des inquiétudes majeures concernant l'existence des données publiées par MM. Mehra et Depai. Même démarche du côté du New England Journal of Medicine.  Le château de cartes s'effondre. #LancetGate #PiedsNickelés https://twitter.com/raoult_didier/status/1268115704311689218/photo/1";raoult_didier;4246;1;D;0;0;0;0;0;0
RT @raoult_didier: Mon collaborateur Philippe Parola, Professeur de Maladies Infectieuses, sera l'invité de @PascalPraud demain à 9h30 sur @CNEWS. Il reviendra sur l'article du Lancet, dont l'intégrité et le sérieux sont sérieusement questionnables, et sur ses conséquences politiques et médiatiques https://twitter.com/raoult_didier/status/1266018129429303299/photo/1;raoult_didier;3783;0;D;0;0;0;0;0;0
RT @raoult_didier: Le Lancet demande des comptes aux auteurs de toute urgence. Ceux-ci se défendent en expliquant qu'un des 5 hôpitaux australiens était en fait un hôpital asiatique. Toujours des écarts inexpliqués. La magie du big data ! (2/2) https://amp-theguardian-com.cdn.ampproject.org/c/s/amp.theguardian.com/science/2020/may/28/questions-raised-over-hydroxychloroquine-study-which-caused-who-to-halt-trials-for-covid-19;raoult_didier;3499;1;D;0;0;0;0;1;0
RT @raoult_didier: Lettre ouverte à Richard Horton, éditeur du Lancet, signée par les plus grandes stars de la recherche médicale britannique parmi lesquelles Sir Nicholas White (h-index 179). https://zenodo.org/record/3862789#.XtDIRDozaUn https://twitter.com/raoult_didier/status/1266286868850597889/photo/1;raoult_didier;3144;0;D;0;0;0;0;0;0
RT @raoult_didier: Les Espagnols (Agence Espagnole du Médicament, AEMPS) et les Britanniques (comité de surveillance de l'essai Recovery) ne sont pas, eux non plus, convaincus par l'étude publiée dans le Lancet par Mehra et al.   https://elpais.com/sociedad/2020-05-27/sanidad-apuesta-por-seguir-usando-e-investigando-la-hidroxicloroquina-frente-al-coronavirus.html https://www.recoverytrial.net/files/professional-downloads/2020_05_24-recovery-dmc-letter_.pdf;raoult_didier;2890;0;D;1;0;0;0;0;0
RT @raoult_didier: Les Pieds nickelés font de la science. #LancetGate  https://www.youtube.com/watch?v=zUbiYhknaK0&feature=youtu.be;raoult_didier;2871;0;D;0;0;0;0;0;0
